event_id,rainfall_group,return_period_year,duration_minutes,pattern,total_depth_mm,peak_intensity_mmhr,antecedent_rainfall_mm,pre_rain_warmup_minutes,post_rain_tail_minutes,simulation_duration_minutes,inp_path,rainfall_csv_path,prepared_inp_sha256,rainfall_sha256,event_preparation_contract,rainfall_contract,scientific_split,development_fold
T5_D60_chicago,T5_D60_chicago,5,60,chicago_r0.39,56.85319352687941,142.76160088049673,0.0,60,360,480,events/T5_D60_chicago.inp,rainfall/T5_D60_chicago.csv,5ba5be5aa424c97ea0856fa1accfd3c4680e826cdfbb44cf09bcda913c04e121,fbe3dc855b4fcf727a0c90b6063127ca95f71537edc74e2e309a7f452529ce9c,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T5_D120_chicago,T5_D120_chicago,5,120,chicago_r0.39,76.06261968461308,150.37222966304833,0.0,60,360,540,events/T5_D120_chicago.inp,rainfall/T5_D120_chicago.csv,1460e30b495ad8352e1effe9e19bc18b957be9638d386a13fcaa2bd88ad3009f,ead9172ad55e4838e34167552f04a9027832198edad6431ee1c6c0b4ee75b0fa,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T5_D180_chicago,T5_D180_chicago,5,180,chicago_r0.39,89.05626404172902,137.2169451412592,0.0,60,360,600,events/T5_D180_chicago.inp,rainfall/T5_D180_chicago.csv,7b9e1db75cdee1e602b8056f1863c856240589707af8cad7bf72a365c1814485,26db29a0851043bb236386294ecc7ebeda8da6e67ebd28feb697456317c2efd7,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,validation
T5_D240_chicago,T5_D240_chicago,5,240,chicago_r0.39,99.22475322069684,140.51295791968388,0.0,60,360,660,events/T5_D240_chicago.inp,rainfall/T5_D240_chicago.csv,67822620a17438062fee34359da5831f483607aec3aa5874b8931f2bc2ec0724,b6165215849f70b61cc462b3f71af910a7b436500a6e3165a76a2bde5af99b9f,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T5_D300_chicago,T5_D300_chicago,5,300,chicago_r0.39,107.72822159966807,150.44924167293536,0.0,60,360,720,events/T5_D300_chicago.inp,rainfall/T5_D300_chicago.csv,22f67aae6cf2bf56c5df37e82998c05a80e44bbc668ae3f3b5040ce5f63bb107,7282e9f22da800f43c7d377c09ee4db9fbb056ed6bdf4742d1b530dd019933de,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T5_D360_chicago,T5_D360_chicago,5,360,chicago_r0.39,115.11533864037126,140.26846995873362,0.0,60,360,780,events/T5_D360_chicago.inp,rainfall/T5_D360_chicago.csv,cc56d694e6195e993ae5b9bab92687711d4f591492d6520ea0d94ac883bbbbcb,100decbc4066305eaf63069ab6b4198eaa4cc1a94300838e30f5c72b921c9e29,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,final,
T10_D60_chicago,T10_D60_chicago,10,60,chicago_r0.39,66.2239982957639,166.29222435747087,0.0,60,360,480,events/T10_D60_chicago.inp,rainfall/T10_D60_chicago.csv,56e9f32241e03765742a9dbb7402a1735eaefa1d16f1e9f58ac6a8b6a887e9e8,5dcd795afdd066304c024e4a8ddfda6583cb2d5c8b072410bcbef02cc9f9e80e,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,final,
T10_D120_chicago,T10_D120_chicago,10,120,chicago_r0.39,88.59961039802715,175.15727196974092,0.0,60,360,540,events/T10_D120_chicago.inp,rainfall/T10_D120_chicago.csv,322672ab270701f3afe17f13e3bb0a746a36a9af9b2f300c8b96ee7087164f1d,36eab81e13e7f80214cb21ec9a65947ca37cd03f01d981bd068434f73d8f1e4d,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T10_D180_chicago,T10_D180_chicago,10,180,chicago_r0.39,103.7349269630426,159.83367296488706,0.0,60,360,600,events/T10_D180_chicago.inp,rainfall/T10_D180_chicago.csv,39bddb1a270701f1a24236c9a123ef9bd471bee0b55267f4ab4471487deba09,ae16a9bcbd9365d58aa749ef646abd8a5a93f11e817890de27cfb9be91a4105b,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T10_D240_chicago,T10_D240_chicago,10,240,chicago_r0.39,115.57943328334431,163.67294972456483,0.0,60,360,660,events/T10_D240_chicago.inp,rainfall/T10_D240_chicago.csv,8bcc60ca63dde00cd585417a72a87d59f8b831e56f227cc44c589cbcc8f7fcbf,6bd3fb2bc494c5d3e45b690560ba3d7018797b56f90633803622893a5ccaecbb,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T10_D300_chicago,T10_D300_chicago,10,300,chicago_r0.39,125.48448241960492,175.24697745319986,0.0,60,360,720,events/T10_D300_chicago.inp,rainfall/T10_D300_chicago.csv,292ad9a72b3303457e4340c7225f81e19e0a15c9066ef6664fc6dfde17bf5dab,fe0f6b9a62898894106f797c4b2c8346c15f26f6ef95fd7f1dfc50c70acf706d,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,validation
T10_D360_chicago,T10_D360_chicago,10,360,chicago_r0.39,134.08917805702495,163.38816413373172,0.0,60,360,780,events/T10_D360_chicago.inp,rainfall/T10_D360_chicago.csv,34c8e2284c512a8e69afbf4601e9e3b445ea1645db6ce5df12e1aad955d2f596,f3ce7b4534f1639b91b91d05d149f06464d65252685493e36ac77e449fe69f67,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T20_D60_chicago,T20_D60_chicago,20,60,chicago_r0.39,75.59480306464842,189.82284783444504,0.0,60,360,480,events/T20_D60_chicago.inp,rainfall/T20_D60_chicago.csv,c2579fdc7e6dd50fddadef3e22c20fe78ddc412d4b523254a9cd1099ddeff14e,24a5faa092a68b2e4ce5cde3baa0e773eb0afa712c0163c83f6368b1f714534c,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,validation
T20_D120_chicago,T20_D120_chicago,20,120,chicago_r0.39,101.13660111144124,199.9423142764336,0.0,60,360,540,events/T20_D120_chicago.inp,rainfall/T20_D120_chicago.csv,3ec31dae4895dfe62f6a845e5be3f9c0d9e1788dcf1e8fcbb8bfb978bee2da12,f4bcebe382151fca2ea2c53c443822660ad02951a46010b820eff40a251a3467,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T20_D180_chicago,T20_D180_chicago,20,180,chicago_r0.39,118.41358988435624,182.450400788515,0.0,60,360,600,events/T20_D180_chicago.inp,rainfall/T20_D180_chicago.csv,19eff4fe711c76bd32c0dcd7470b141dd100d01465718f8a4bd5212004a96e74,bd8e9b4b07eaefb3966bd6bed60ecc02d4d13fa535aa425843d22b2e76691de8,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,final,
T20_D240_chicago,T20_D240_chicago,20,240,chicago_r0.39,131.93411334599182,186.83294152944583,0.0,60,360,660,events/T20_D240_chicago.inp,rainfall/T20_D240_chicago.csv,fd9adc1b72d814c537b45f47d91a89b7e59ca5ea5a7b5392415047628aed6f23,40bb972d621c59a274c2b055b056ed14e41366281200a3ebf41781d6f7ac69b6,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,final,
T20_D300_chicago,T20_D300_chicago,20,300,chicago_r0.39,143.2407432395418,200.0447132334644,0.0,60,360,720,events/T20_D300_chicago.inp,rainfall/T20_D300_chicago.csv,5f5553d0078698cc71cf0e3d497abb53fceca6c8c1253e0df3ea823e4ace8438,48f1420c9917a54442baeae3b5f04b238fb33cb04fcb960715e32359871a8c20,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T20_D360_chicago,T20_D360_chicago,20,360,chicago_r0.39,153.06301747367866,186.5078583087298,0.0,60,360,780,events/T20_D360_chicago.inp,rainfall/T20_D360_chicago.csv,8efdabbf6b2e9413c9e9e8a95c60bd4ff91e6dd0a1d3c9cc0ae72411c795461e,ae4dc7c85893ac461cc275e51ec0ada8516fc1b38e21a0bf62bb048bec3c1da4,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T50_D60_chicago,T50_D60_chicago,50,60,chicago_r0.39,87.9823331603413,220.92864009887333,0.0,60,360,480,events/T50_D60_chicago.inp,rainfall/T50_D60_chicago.csv,2efa241acf3f6284cede98bc25f30f18fbe306534d94a0e1a7460c0566510544,540f795d32c48fb8aa36c35f5b8cdd95257ce2954c6e6696cd8be3f831e9389f,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T50_D120_chicago,T50_D120_chicago,50,120,chicago_r0.39,117.70960136084526,232.7063580346224,0.0,60,360,540,events/T50_D120_chicago.inp,rainfall/T50_D120_chicago.csv,45d68a5738634deb67c02475a6ec36b6243afafb9f550b25d8c48bf6f7e9f0b3,597321b6ea369e9d270767613e7d6009c787e4328a5e8da0256f1928436a2f5f,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,final,
T50_D180_chicago,T50_D180_chicago,50,180,chicago_r0.39,137.81772679542206,212.34808871298932,0.0,60,360,600,events/T50_D180_chicago.inp,rainfall/T50_D180_chicago.csv,d274ddffd3d8818404aacc59f69f651611c84a7c5c125ecd8c6d3142af3c81ff,227e4984a8a6a2b159ea2b9270372f94ed223c29402d752b07682b1e1b8b0584,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T50_D240_chicago,T50_D240_chicago,50,240,chicago_r0.39,153.5538244036997,217.44878537367907,0.0,60,360,660,events/T50_D240_chicago.inp,rainfall/T50_D240_chicago.csv,7d0c70db3b2a28acf3529450a141480e0ab4d2cdddae60f8b5988ad9bad78dce,19234585a53b3eb7490d82f3c350fe1b5bab5296fa5379a4158afd0719fc0f4b,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,validation
T50_D300_chicago,T50_D300_chicago,50,300,chicago_r0.39,166.71324327756403,232.82553685098955,0.0,60,360,720,events/T50_D300_chicago.inp,rainfall/T50_D300_chicago.csv,277af8363d724ac65367072d8eebb97ab9b170567f4aa5599a00ef24a21be2b1,86e9ee95a401feb3e81942c13a5a8747fb89d946267ad47640fb1a8f5fa49d98,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T50_D360_chicago,T50_D360_chicago,50,360,chicago_r0.39,178.14506886643437,217.07043158386344,0.0,60,360,780,events/T50_D360_chicago.inp,rainfall/T50_D360_chicago.csv,7d69e21e3d6b8ecf3b25c32d89bcdf902c2e7290ae22b050dfd7b523c929b2d4,69c0be591f89170db3f56fbf4bb73717f72401bc9868dcffe7cf978a88e51fd5,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,validation
T100_D60_chicago,T100_D60_chicago,100,60,chicago_r0.39,97.3531379292258,244.45926357584747,0.0,60,360,480,events/T100_D60_chicago.inp,rainfall/T100_D60_chicago.csv,635dd2f00828f761758253838d6ac25283b38f23c4e37509c64b3a681f97fbaf,ce06ff41845050041d85dfce2338ebee87573c11602fb88869cca95d17bd2ca0,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T100_D120_chicago,T100_D120_chicago,100,120,chicago_r0.39,130.24659207425933,257.49140034131494,0.0,60,360,540,events/T100_D120_chicago.inp,rainfall/T100_D120_chicago.csv,094668fb3946133a58f63a789d7b4e0003f3dc21124954f3e95ddcd615293628,5d498fc88dd6a6b9dd1471224cb1811a799e18800345487b4bcaa3d1c33ea721,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,validation
T100_D180_chicago,T100_D180_chicago,100,180,chicago_r0.39,152.49638971673568,234.9648165366173,0.0,60,360,600,events/T100_D180_chicago.inp,rainfall/T100_D180_chicago.csv,853b7bd84b95b1c9228d217305d64162dd9614f2c8393f5956fb0e258f5147b6,791c9ba26b126875ec1b0e2dac024dff652b58c4503258a22247e51bed113047,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T100_D240_chicago,T100_D240_chicago,100,240,chicago_r0.39,169.90850446634715,240.60877717856005,0.0,60,360,660,events/T100_D240_chicago.inp,rainfall/T100_D240_chicago.csv,9fc40db27137bfc4924194dc1a81c3ecbe0f5d1e498142b255536e2774b05dde,0abf0f75cdbf666805be7fb6186e57d55f540787df3c9bd90c399deb0dd76a6b,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
T100_D300_chicago,T100_D300_chicago,100,300,chicago_r0.39,184.46950409750087,257.62327263125405,0.0,60,360,720,events/T100_D300_chicago.inp,rainfall/T100_D300_chicago.csv,e91370e1543e1fe317dece2cfc0671b318fdf7274d5af99cce4027d8bd59ff82,fe635668fbab5a1d580234882623fd6486b3da45ba25b4ab5af2fb0f6169fd8e,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,final,
T100_D360_chicago,T100_D360_chicago,100,360,chicago_r0.39,197.11890828308807,240.19012575886148,0.0,60,360,780,events/T100_D360_chicago.inp,rainfall/T100_D360_chicago.csv,55cbc4d561f8da60af64f591958ff33ff832e58e47e4bf42d2b9f5e6259cb057,9f60096f675bde1321287af5ecbd8f88d46f1f1c8677cfd75615f1babe867944,WUHAN_RTC_METHOD_TESTBED_V067,WUHAN_DB4201_T641_2020_CHICAGO_30_V1,development,train
